"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16311","Test Case:Booking Application","chromium","Fri Jan 17 13:13:12 IST 2025","passed","Fri Jan 17 13:13:28 IST 2025","","booking.spec.js","",""
"","20825","Test Case: Youtube Application","chromium","Thu Jan 16 18:52:24 IST 2025","passed","Thu Jan 16 18:52:45 IST 2025","","youtube.spec.js","",""
